"item serial id",serial,"Variant ID","Product ID","Item Title",Brand,"shipping nature","category id","Seller ID",Seller,"Register Date","Edit Date","Edit User",location,"location title","warehouse id","warehouse name","supplier name","purchase price","order id","cart closed at","pick up driver name","delivery distribution center","delivery driver code","delivery driver name"
159534208,29088B8E,10598206,3283563,"تابه زرساب سری گریپ مدل RP-224 سایز 24 | مشکی | گارانتی مادام‌العمر درب و دستگیره زرساب",زرساب,عادی,10638,1,دیجی‌کالا,"1399/07/09 13:56:24","1401/08/14 19:03:53","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده","صنعتی زرساب",1989969,,,,,,
159538689,904DACC7,1896205,930360,"تابه زرساب مدل FS-224 سایز 24 | صورتی | گارانتی مادام‌العمر درب و دستگیره زرساب",زرساب,عادی,10638,1,دیجی‌کالا,"1399/07/09 14:28:03","1401/08/14 19:03:54","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده","صنعتی زرساب",977989,,,,,,
171384804,92328A5C,385900,129837,"اسپیکر قابل حمل شیاومی مدل Square Box 2 | سرخابی | گارانتی 18 ماهه رایانه همراه",شیائومی,عادی,25,1,دیجی‌کالا,"1399/08/16 12:36:20","1401/07/18 18:54:48","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده",,,,,,,,
188481116,003C1F56,9766776,2016944,"نوار تست قند خون آوان مدل AGS01 بسته 50 عددی | آبی | گارانتی مادام‌العمر آوان",آوان,عادی,8611,1,دیجی‌کالا,"1399/09/25 05:13:34","1401/08/17 11:06:42","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده"," آوان درمان نوین",502000,,,,,,
188738216,A94ADB57,1896705,930384,"تابه زرساب مدل FS-222 سایز 22 | صورتی | گارانتی مادام‌العمر درب و دستگیره زرساب",زرساب,عادی,10638,1,دیجی‌کالا,"1399/09/25 16:16:45","1401/08/14 19:03:54","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده","صنعتی زرساب",906444,,,,,,
198411217,049726ED,12829122,3998707,"نیم بوت مردانه شیفر مدل 7552b503101 | 44 | گارانتی اصالت و سلامت فیزیکی کالا",شیفر,عادی,9477,1,دیجی‌کالا,"1399/10/18 22:32:30","1401/08/25 18:07:56","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده","محمد علی نباتچیان",12215000,,,,,,
198956858,BFE611DD,13393845,319832,"هدفون بلوتوثی زیلوت مدل B570 | نقره ای | گارانتی اصالت و سلامت فیزیکی کالا",زیلوت,عادی,211,1,دیجی‌کالا,"1399/10/20 11:56:10","1401/07/18 18:54:49","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده",,,,,,,,
204879228,A4ED79BA,9766776,2016944,"نوار تست قند خون آوان مدل AGS01 بسته 50 عددی | آبی | گارانتی مادام‌العمر آوان",آوان,عادی,8611,1,دیجی‌کالا,"1399/11/05 00:52:05","1401/08/17 11:06:42","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده"," آوان درمان نوین",502000,,,,,,
210482731,DD1FAD39,14053634,4376690,"سرویس پخت و پز 3 پارچه زرساب مدل گرانیکو | سرمه ای | گارانتی مادام‌العمر درب و دستگیره زرساب",زرساب,عادی,6255,1,دیجی‌کالا,"1399/11/15 12:22:20","1401/08/14 19:03:54","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده","صنعتی زرساب",3033066,,,,,,
222238855,A2BDCBD3,10435504,3048772,"دستگاه تست قندخون آوان مدل AGM01 به همراه 100 عدد نوار تست قند خون | گارانتی مادام‌العمر آوان",آوان,عادی,2408,1,دیجی‌کالا,"1399/12/09 17:53:49","1401/08/17 11:06:42","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده"," آوان درمان نوین",1800000,,,,,,
222238889,215117BA,10435504,3048772,"دستگاه تست قندخون آوان مدل AGM01 به همراه 100 عدد نوار تست قند خون | گارانتی مادام‌العمر آوان",آوان,عادی,2408,1,دیجی‌کالا,"1399/12/09 17:53:50","1401/08/17 11:06:42","mohammad yavari","شرکت گلدایران","[شرکت گلدایران]aisle",5,"انبار امانی نزد شرکت های گارانتی دهنده"," آوان درمان نوین",1800000,,,,,,
