,Item serial Id,Serial,Cost Center,Cost of sales type,Input date,Price,Recovery,Month,Owner,Dept,S.Dept,S.Unit,Type,Year,jdate,month,year,month year
0,348787867,042513C7,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010106,18110,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-06 00:00:00,1,1401,1401-1
1,389963362,4CB7DB43,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010106,299000,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-06 00:00:00,1,1401,1401-1
2,382315646,77B006F5,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010106,153517,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-06 00:00:00,1,1401,1401-1
3,358317904,F48F1884,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010106,31112,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-06 00:00:00,1,1401,1401-1
4,388368840,18748EDC,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010118,339082,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-18 00:00:00,1,1401,1401-1
5,382127231,1B2AD008,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010115,624859,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-15 00:00:00,1,1401,1401-1
6,392546146,86A85974,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010129,887941,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-29 00:00:00,1,1401,1401-1
7,388368517,CD2B916D,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010130,339082,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-30 00:00:00,1,1401,1401-1
8,395129890,04E7D0DB,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010115,4082568,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-15 00:00:00,1,1401,1401-1
9,349995611,1119B5F2,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010204,220500,0,140102,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-02-04 00:00:00,2,1401,1401-2
10,385946864,558002C0,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010122,13200000,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-22 00:00:00,1,1401,1401-1
11,387334713,SD6434K52Q7,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010122,38532110,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-22 00:00:00,1,1401,1401-1
12,391664022,81732372,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010226,188073,0,140102,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-02-26 00:00:00,2,1401,1401-2
13,399128088,F64F0A19,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010302,4441284,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
14,423684366,08ABFC7F,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010326,578000,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-26 00:00:00,3,1401,1401-3
15,402260439,B69D66D2,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010326,1350000,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-26 00:00:00,3,1401,1401-3
16,381602957,35522A0B,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010302,1151887,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
17,401856065,F7A1E7BC,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010301,423853,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-01 00:00:00,3,1401,1401-3
18,423684349,87B97388,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010325,578000,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-25 00:00:00,3,1401,1401-3
19,421645887,F1058D2B,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010325,578000,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-25 00:00:00,3,1401,1401-3
20,382160203,90FC53AB,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010325,624859,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-25 00:00:00,3,1401,1401-3
21,410519200,9DCD3008,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010322,153645,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-22 00:00:00,3,1401,1401-3
22,405113509,9FA8EE68,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010325,1237500,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-25 00:00:00,3,1401,1401-3
23,388356243,C5A00BF8,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010401,339082,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-01 00:00:00,4,1401,1401-4
24,419707600,027E6F51,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010316,1,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-16 00:00:00,3,1401,1401-3
25,153154710,A305B90A,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010404,910000,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-04 00:00:00,4,1401,1401-4
26,411611512,52CEC704,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010413,770000,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-13 00:00:00,4,1401,1401-4
27,393500507,A6986C4B,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010302,458700,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
28,417778779,B2E7B662,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010413,861525,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-13 00:00:00,4,1401,1401-4
29,374767744,BFB624FC,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010413,770635,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-13 00:00:00,4,1401,1401-4
30,416336084,F5DF3C52,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010412,612910,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-12 00:00:00,4,1401,1401-4
31,333760130,0224AF84,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010302,1834863,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
32,333760058,7751AC29,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010302,1834863,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
33,333760085,B55739C0,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010302,1834863,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
34,333760044,9C99BA13,Commercial - Retail return - Retail return - Retail return - Waste,waste,14010302,1834863,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
35,333760092,D49A40E5,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010302,1834863,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
36,407381438,5E8EF6EB,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010302,165000,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-02 00:00:00,3,1401,1401-3
37,297751803,DDA1887E,Commercial -Retail return -Retail return -Retail return -Waste,waste,14010301,2476697,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-01 00:00:00,3,1401,1401-3
38,224597200,285E54A4,Commercial -Retail return -Retail return -Retail return -Waste,deduct,14010128,3614678,0,140101,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-01-28 00:00:00,1,1401,1401-1
39,426180025,5C72FE0F,Commercial - Retail return - Retail return - Retail return - Waste,waste,14010427,100,0,140104,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-04-27 00:00:00,4,1401,1401-4
42,408702962,2379A69D,Commercial - Retail return - Retail return - Retail return - Waste,waste,14010219,4009175,0,140102,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-02-19 00:00:00,2,1401,1401-2
46,435845341,5FD548CD,Commercial - Retail return - Retail return - Retail return - Waste,waste,14010515,2981651,0,140105,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-05-15 00:00:00,5,1401,1401-5
48,410499117,C4B67DA3,Commercial - Retail return - Retail return - Retail return - Waste,waste,14010318,3198899,0,140103,Commercial,Retail return,Retail return,Retail return,Waste,1401,1401-03-18 00:00:00,3,1401,1401-3
10692,429366373,429366373,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010518,3790000,115800,140105,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-05-18 00:00:00,5,1401,1401-5
10693,424863778,E5FDAC2D,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010323,5273100,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-23 00:00:00,3,1401,1401-3
10694,89031225,ACDFBD36,Commercial -Retail return -Retail return -Retail return -DAMAGED,Open Box,14010524,15900000,0,140105,Commercial,Retail return,Retail return,Retail return,DAMAGED,1401,1401-05-24 00:00:00,5,1401,1401-5
10695,297010840,297010840,Commercial -Retail return -Retail return -Retail return -DAMAGED,Open Box,14010614,3950000,0,140106,Commercial,Retail return,Retail return,Retail return,DAMAGED,1401,1401-06-14 00:00:00,6,1401,1401-6
10696,342662762,7223D2A4,Commercial -Retail return -Retail return -Retail return -DAMAGED,Open Box,14010315,6300000,0,140103,Commercial,Retail return,Retail return,Retail return,DAMAGED,1401,1401-03-15 00:00:00,3,1401,1401-3
10697,381273154,2000225295371,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010127,138646788,0,140101,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-01-27 00:00:00,1,1401,1401-1
10698,385834344,A7B49BA7,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010122,4500000,0,140101,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-01-22 00:00:00,1,1401,1401-1
10699,395127962,3C2F6910,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010204,2981652,0,140102,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-02-04 00:00:00,2,1401,1401-2
10700,403944010,B9882A47,Commercial -Retail return -Retail return -Retail return -DAMAGED,Open Box,14010523,22293578,0,140105,Commercial,Retail return,Retail return,Retail return,DAMAGED,1401,1401-05-23 00:00:00,5,1401,1401-5
10701,407331892,A278DBCD,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010420,3853211,0,140104,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-04-20 00:00:00,4,1401,1401-4
10702,409620406,15B80666,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010322,4441284,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-22 00:00:00,3,1401,1401-3
10703,409620427,E9BB02C1,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010322,4441284,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-22 00:00:00,3,1401,1401-3
10704,409620440,39C43D63,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010428,4441284,0,140104,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-04-28 00:00:00,4,1401,1401-4
10705,409620450,0366C8F1,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010322,4441284,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-22 00:00:00,3,1401,1401-3
10706,413094547,MBN0CX270687470,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010503,64220184,0,140105,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-05-03 00:00:00,5,1401,1401-5
10707,413095487,MBN0CX270647472,Commercial -Retail return -Retail return -Retail return -DAMAGED,Open Box,14010614,64220184,0,140106,Commercial,Retail return,Retail return,Retail return,DAMAGED,1401,1401-06-14 00:00:00,6,1401,1401-6
10708,414824969,30DC7AAF,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010311,16597715,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-11 00:00:00,3,1401,1401-3
10709,417077801,2000285516407,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010423,8271559,0,140104,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-04-23 00:00:00,4,1401,1401-4
10710,417246809,2000253565811,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010413,17442000,0,140104,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-04-13 00:00:00,4,1401,1401-4
10711,417765444,7DE8FB3A,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010407,14220184,0,140104,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-04-07 00:00:00,4,1401,1401-4
10712,418643512,M9N0CX19C361386,Commercial - Retail return - Retail return - Retail return - Damaged,Open Box,14010329,65137614,0,140103,Commercial,Retail return,Retail return,Retail return,Damaged,1401,1401-03-29 00:00:00,3,1401,1401-3
